Score,Goal,Goal Type,Stock Change,Stock Type,Difficulty Points,Stock Penalty,Synergy Adjustment,Reward Tier,Reward,Is Market Manipulation
-2.5,None (Market Manipulation),none,Blue +2 / Orange +1,plus_two_plus_one,0,-2.5,0.0,N/A,N/A,True
-2.5,None (Market Manipulation),none,Orange +2 / Yellow +1,plus_two_plus_one,0,-2.5,0.0,N/A,N/A,True
-2.5,None (Market Manipulation),none,Yellow +2 / Purple +1,plus_two_plus_one,0,-2.5,0.0,N/A,N/A,True
-2.5,None (Market Manipulation),none,Purple +2 / Blue +1,plus_two_plus_one,0,-2.5,0.0,N/A,N/A,True
-1.5,2 Purple,pair,Purple +1 / Orange +1,double_up,0.5,-1.5,-0.5,low,Peek at top card, choose to put it on top or bottom of deck,False
-1.5,2 Blue,pair,Blue +1 / Yellow +1,double_up,0.5,-1.5,-0.5,low,Peek at top card, choose to put it on top or bottom of deck,False
-1.5,None (Market Manipulation),none,Blue -3,single_down_triple,0,-1.5,0.0,N/A,N/A,True
-1.5,None (Market Manipulation),none,Orange -3,single_down_triple,0,-1.5,0.0,N/A,N/A,True
-1.5,None (Market Manipulation),none,Yellow -3,single_down_triple,0,-1.5,0.0,N/A,N/A,True
-1.5,None (Market Manipulation),none,Purple -3,single_down_triple,0,-1.5,0.0,N/A,N/A,True
-1.25,2 Yellow,pair,Orange +2,single_up_twice,0.5,-1.75,0.0,low,Look at random goal card from another player,False
-1.25,2 Orange,pair,Yellow +2,single_up_twice,0.5,-1.75,0.0,low,Look at random goal card from another player,False
-1.0,1 Blue + 1 Orange + 1 Yellow,three_different,Yellow +1 / Blue +1,double_up,1.0,-1.5,-0.5,low,Buy the lowest-priced stock for $1 discount,False
-0.75,2 Blue + 1 Orange,pair_plus_specific,Purple +2,single_up_twice,1.0,-1.75,0.0,low,Buy the lowest-priced stock for $1 discount,False
-0.25,0 Yellow,none_of,Orange +1 / Purple -1,mixed,1.0,-1.25,0.0,low,Gain $1,False
0.0,0 Purple,none_of,Orange -2,single_down_twice,1.0,-1.0,0.0,low,Gain $1,False
0.0,0 Orange,none_of,Purple -1 / Yellow -1,double_down,1.0,-1.0,0.0,low,Peek at top 5 cards of the resource deck, and rearrange them in any order,False
0.25,1 Blue + 1 Orange + 1 Yellow + 1 Purple,one_of_every,Yellow +1 / Blue +1,double_up,1.75,-1.5,0.0,medium,Peek at top 5 cards of the resource deck, and rearrange them in any order,False
0.25,3 Orange,three_of_a_kind,Purple +2,single_up_twice,2.0,-1.75,0.0,medium,Swap 1 of your resource cards with the top card of the deck,False
0.25,3 Yellow,three_of_a_kind,Blue +2,single_up_twice,2.0,-1.75,0.0,medium,Swap 1 of your resource cards with the top card of the deck,False
0.5,0 Blue,none_of,Orange -1,single_down,1.0,-0.5,0.0,medium,Steal $1 from another player,False
0.5,2 Yellow + 1 Purple,pair_plus_specific,Orange -1,single_down,1.0,-0.5,0.0,medium,Steal $1 from another player,False
0.5,2 Purple + 1 Blue,pair_plus_specific,Yellow -1,single_down,1.0,-0.5,0.0,medium,Gain $2,False
0.5,1 Orange + 1 Yellow + 1 Purple,three_different,Blue -1 / Orange -1,double_down,1.0,-1.0,0.5,medium,Gain $2,False
1.0,1 Blue + 1 Orange + 1 Yellow + 1 Purple,one_of_every,Orange +1,single_up,1.75,-0.75,0.0,medium,Take a random resource from another player and give them one of your choice,False
1.0,1 Blue + 1 Orange + 1 Yellow + 1 Purple,one_of_every,Blue +1,single_up,1.75,-0.75,0.0,medium,Take a random resource from another player and give them one of your choice,False
1.0,1 Blue + 1 Orange + 1 Yellow + 1 Purple,one_of_every,Purple +1,single_up,1.75,-0.75,0.0,medium,Buy any stock for $2 discount,False
1.0,2 Orange + 2 Yellow,two_pair,Purple -2,single_down_twice,2.0,-1.0,0.0,high,Buy any stock for $2 discount,False
1.0,1 Blue + 1 Orange + 1 Purple,three_different,Blue -1,single_down,1.0,-0.5,0.5,high,Adjust any one stock price by ±1 (before selling phase),False
1.0,3 Purple,three_of_a_kind,Blue -2,single_down_twice,2.0,-1.0,0.0,high,Adjust any one stock price by ±1 (before selling phase),False
1.0,2 Yellow + 2 Purple,two_pair,Blue -2,single_down_twice,2.0,-1.0,0.0,high,All cards you sell this round get +$1 bonus,False
1.0,2 Orange + 1 Yellow,pair_plus_specific,Yellow -1,single_down,1.0,-0.5,0.5,high,All cards you sell this round get +$1 bonus,False
1.0,2 Blue + 2 Orange,two_pair,Yellow -2,single_down_twice,2.0,-1.0,0.0,high,Gain the lowest value stock,False
1.0,1 Blue + 1 Yellow + 1 Purple,three_different,Purple -1 / Yellow -1,double_down,1.0,-1.0,1.0,high,Gain the lowest value stock,False
1.25,3 Blue,three_of_a_kind,Yellow +1,single_up,2.0,-0.75,0.0,high,Gain $3,False
2.5,2 Purple + 2 Blue,two_pair,Purple -1,single_down,2.0,-0.5,1.0,high,Gain $4,False
